date,revenue,marketing_cost,other_cost,profit,is_holiday_week,competitor_price_change,injected_event,expected_anomaly
2025-01-06,1002.44,192.71,290.66,519.06,False,False,,False
2025-01-13,1006.65,198.4,297.95,510.3,False,False,,False
2025-01-20,1034.35,197.65,290.5,546.2,False,False,,False
2025-01-27,1046.42,196.81,296.61,553.0,False,False,,False
2025-02-03,1030.42,198.62,308.4,523.39,False,False,,False
2025-02-10,1039.53,207.47,282.73,549.33,False,True,,False
2025-02-17,1052.61,195.67,304.34,552.6,False,False,,False
2025-02-24,1049.88,204.84,302.38,542.66,False,False,,False
2025-03-03,1053.92,191.59,294.06,568.27,False,False,,False
2025-03-10,1051.15,198.33,285.54,567.29,False,False,,False
2025-03-17,1072.14,200.81,300.72,570.61,False,False,,False
2025-03-24,1081.88,202.93,294.71,584.24,False,False,,False
2025-03-31,1089.56,203.56,302.33,583.67,False,False,,False
2025-04-07,1113.02,203.97,300.22,608.83,False,False,,False
2025-04-14,1122.71,198.26,316.02,608.44,False,False,,False
2025-04-21,1125.47,197.69,297.61,630.18,False,False,,False
2025-04-28,1145.84,204.29,289.77,651.79,False,False,,False
2025-05-05,1142.35,199.04,301.79,641.52,False,False,,False
2025-05-12,1160.97,193.62,302.2,665.15,False,False,,False
2025-05-19,1155.19,194.33,313.59,647.26,False,False,,False
2025-05-26,1154.93,156.32,308.35,690.26,False,False,week20_marketing_cut,True
2025-06-02,1140.61,161.99,303.57,675.05,False,False,,False
2025-06-09,1147.76,160.57,314.63,672.55,False,False,,False
2025-06-16,1131.87,162.76,288.11,681.0,False,False,,False
2025-06-23,1128.23,158.29,293.6,676.34,False,False,,False
2025-06-30,1130.21,160.63,290.73,678.84,False,False,,False
2025-07-07,1140.26,162.5,296.1,681.65,False,False,,False
2025-07-14,1141.89,158.76,286.23,696.9,False,False,,False
2025-07-21,1143.65,161.83,306.35,675.47,False,False,,False
2025-07-28,1142.34,157.35,297.78,687.21,False,False,,False
2025-08-04,1151.16,158.55,285.29,707.32,False,False,,False
2025-08-11,1122.7,158.47,289.84,674.38,False,False,,False
2025-08-18,1111.49,155.22,303.14,653.14,False,False,,False
2025-08-25,1097.9,161.95,308.38,627.57,False,False,,False
2025-09-01,1098.98,158.12,319.97,620.89,False,False,,False
2025-09-08,1095.01,160.05,329.14,605.82,False,False,,False
2025-09-15,1080.2,161.92,304.14,614.13,False,False,,False
2025-09-22,1072.93,161.79,290.1,621.04,False,False,,False
2025-09-29,1074.43,162.66,278.68,633.09,False,False,,False
2025-10-06,1089.2,159.61,302.68,626.92,True,False,,False
2025-10-13,1092.92,158.31,291.87,642.74,False,False,,False
2025-10-20,1092.69,159.68,295.85,637.16,False,False,,False
2025-10-27,1081.57,153.25,293.88,634.44,False,False,,False
2025-11-03,1083.88,154.21,298.59,631.08,False,False,,False
2025-11-10,1074.88,154.71,310.66,609.51,False,False,,False
2025-11-17,1065.34,156.01,301.57,607.76,False,False,,False
2025-11-24,1059.38,161.6,298.41,599.37,False,False,,False
2025-12-01,1043.84,156.38,289.64,597.82,True,False,,False
2025-12-08,1039.41,158.49,283.25,597.67,False,False,,False
2025-12-15,1029.65,165.2,295.14,569.32,False,False,,False
2025-12-22,1029.97,158.57,299.46,571.93,False,False,,False
2025-12-29,1034.08,162.95,317.68,553.45,False,False,,False
